Month (mm-yy),Sapling no.,Planting hole,Weeding treatment,Fertiliser treatment,Peat condition,Sun exposure,Insect herbivory,Dead/Live,Height (cm),DBH (cm),No. of leaves,RGR for Height,RGR for DBH
Jun-21,52-01-10,127,No weeding,None,Partial,High,Low,Live,177,0.86,3,-0.02572,-0.01143
Jun-21,19-01-07,128,Weeding,Urea,Partial,High,Low,Live,178,1.02,9,-0.02783,0.12549
Jun-21,52-01-05,129,No weeding,Mixed,Partial,High,None,Live,186,0.88,11,0.01093,-0.04261
Jun-21,04-01-08,130,Weeding,TSP,Partial,High,NA,Live,123.5,0.72,NA,NA,NA
Jun-21,25-01-07,131,No weeding,None,Waterlogged,High,Low,Live,195.5,0.85,NA,NA,NA
Jun-21,30-01-01,132,Weeding,Urea,Waterlogged,High,Low,Live,139,0.76,NA,NA,NA
Jun-21,69-01-08,133,Weeding,None,Partial,High,NA,Live,131,0.78,NA,NA,NA
Jun-21,27-01-05,134,No weeding,Urea,Partial,Partial,NA,Live,201,1.27,NA,NA,NA
Jun-21,18-01-21,135,Weeding,Mixed,Partial,Low,Low,Live,181,0.79,2,0.00651,0.0129
Jun-21,64-01-04,136,No weeding,TSP,Dry,Partial,Low,Live,97,0.89,3,-0.20236,0.16655
Jun-21,41-01-33,137,Weeding,None,Partial,High,Intermediate,Live,110,0.39,8,0.01551,0.19084
Jun-21,49-01-12,138,No weeding,Urea,Partial,High,Intermediate,Live,182,0.73,18,0.00442,0.00926
Jun-21,40-01-22,139,Weeding,Mixed,Partial,Partial,NA,Live,90,0.86,0,-0.01837,0.29028
Jun-21,69-01-03,140,No weeding,TSP,Partial,Partial,NA,Live,207,0.87,NA,NA,NA
Jun-21,18-01-24,141,Weeding,None,Dry,High,NA,Live,125.2,0.89,NA,NA,NA
Jun-21,52-01-03,142,No weeding,Urea,Dry,High,Low,Live,183.5,0.8,NA,NA,NA
Jun-21,32-01-02,143,Weeding,Mixed,Dry,Partial,Low,Live,76.5,0.26,6,0.0543,0.01307
Jun-21,05-01-43,144,No weeding,TSP,Dry,Low,Low,Live,209,0.7,21,-0.00788,-0.06472
Jun-21,62-01-09,145,Weeding,None,Dry,Partial,Low,Live,140,0.32,5,0.11551,-0.48717
Jun-21,22-01-02,146,No weeding,Urea,Dry,Partial,None,Live,91,0.77,1,-0.06921,0.01325
Jun-21,62-01-03,147,Weeding,Mixed,Partial,High,NA,Live,188,1.05,NA,NA,NA
Jun-21,17-01-02,148,No weeding,TSP,Waterlogged,High,Intermediate,Live,176.5,0.81,11,0.00189,-0.00773
